PubMed ID	URL	PDF	First Author	Authors	Year	Journal	Judgement	Outcome category	Outcome subcategory	Animal	Animal subtype	Animal age	Animal gender	Animal weight	Injury height	Injury type	Outcome name	Outcome further detail name	Outcome further detail value	Injury location	Injury device	Injury device detail	Treatment type	Treatment detail	Treatment application	Treatment  dosage	Injured treated	Injured control	Sham control	Trend	Timepoint	Animal weight, lightest (g)	Animal weight, heaviest (g)	BBB timepoint (days)	BBB value (Treated)	BBB value (Control)
1613809	1613809		Martinez-Arizala	Martinez-Arizala A, Green BA.	1992	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	250-300 g	Thoracic	Contusion	Cyst volume	hemorrhage			Weight drop	50 g x cm	Systemic	Hypothermia		31-32_C	3	3		Decrease		>=200, <300	>=300, <400			
1613809	1613809		Martinez-Arizala	Martinez-Arizala A, Green BA.	1992	J Neurotrauma	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	250-300 g	Thoracic	Contusion	Non-neuronal cells pathol.	parenchymal damage			Weight drop	50 g x cm	Systemic	Hypothermia		31-32_C	3	3		Decrease		>=200, <300	>=300, <400			
1613809	1613809		Martinez-Arizala	Martinez-Arizala A, Green BA.	1992	J Neurotrauma	No effect	Functional	Locomotor test	Rat	SD	Adult	Female	250-300 g	Thoracic	Contusion	Open field	no functional benefit			Weight drop	50 g x cm	Systemic	Hypothermia		31-32_C	3	3		No change	4 d	>=200, <300	>=300, <400			
1810564	1810564		Simpson	Simpson RK Jr, Baskin DS, Dudley AW, Bogue L, Rothenberg F.	1991	J Spinal Disord	Positive	Functional	Electrophysiology	Rat	SD	Adult	Not defined	250-350 g	Thoracic	Contusion	Motor evoked potentials				Weight drop	50 g x cm	Systemic	Indomethacin	Intraperitoneal	2 mg/kg	10	12		Increase		>=200, <300	>=300, <400			
1810564	1810564		Simpson	Simpson RK Jr, Baskin DS, Dudley AW, Bogue L, Rothenberg F.	1991	J Spinal Disord	Positive	Functional	Locomotor test	Rat	SD	Adult	Not defined	250-350 g	Thoracic	Contusion	Inclined plane test				Weight drop	50 g x cm	Systemic	Indomethacin	Intraperitoneal	2 mg/kg	10	12		Increase	6 w	>=200, <300	>=300, <400			
1810564	1810564		Simpson	Simpson RK Jr, Baskin DS, Dudley AW, Bogue L, Rothenberg F.	1991	J Spinal Disord	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Not defined	250-350 g	Thoracic	Contusion	Lesion volume	histopathological changes in the spinal cord (tissue loss)			Weight drop	50 g x cm	Systemic	Indomethacin	Intraperitoneal	2 mg/kg	10	12		Decrease	6 w	>=200, <300	>=300, <400			
1810564	1810564		Simpson	Simpson RK Jr, Baskin DS, Dudley AW, Bogue L, Rothenberg F.	1991	J Spinal Disord	No effect	Functional	Electrophysiology	Rat	SD	Adult	Not defined	250-350 g	Thoracic	Contusion	Somatosensory evoked potentials				Weight drop	50 g x cm	Systemic	Indomethacin	Intraperitoneal	2 mg/kg	10	12		No change		>=200, <300	>=300, <400			
1810564	1810564		Simpson	Simpson RK Jr, Baskin DS, Dudley AW, Bogue L, Rothenberg F.	1991	J Spinal Disord	No effect	Functional	Sensory test	Rat	SD	Adult	Not defined	250-350 g	Thoracic	Contusion	Hindpaw sensation				Weight drop	50 g x cm	Systemic	Indomethacin	Intraperitoneal	2 mg/kg	10	12		No change		>=200, <300	>=300, <400			
3143469	3143469	Open PDF	Faden	Faden AI, Lemke M, Demediuk P.	1988	Brain Res	Positive	Non-functional	Inflammation	Rat	SD	Adult	Not defined	275-325 g	Thoracic	Contusion	Prostaglandins	thromboxane B2 (TxB2) level in tissue			Weight drop	50 g x cm	Systemic	BW755C	Intravenous	10 mg/kg	8	8		Decrease		>=200, <300	>=300, <400			
3143469	3143469	Open PDF	Faden	Faden AI, Lemke M, Demediuk P.	1988	Brain Res	Positive	Functional	Locomotor test	Rat	SD	Adult	Not defined	275-325 g	Thoracic	Contusion	Inclined plane test				Weight drop	50 g x cm	Systemic	BW755C	Intravenous	10 mg/kg	15	15		Increase		>=200, <300	>=300, <400			
3143469	3143469	Open PDF	Faden	Faden AI, Lemke M, Demediuk P.	1988	Brain Res	Positive	Functional	Locomotor test	Rat	SD	Adult	Not defined	275-325 g	Thoracic	Contusion	Open field				Weight drop	50 g x cm	Systemic	BW755C	Intravenous	10 mg/kg	15	15		Increase		>=200, <300	>=300, <400			
3143469	3143469	Open PDF	Faden	Faden AI, Lemke M, Demediuk P.	1988	Brain Res	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Not defined	275-325 g	Thoracic	Contusion	Cyst volume	edema			Weight drop	50 g x cm	Systemic	BW755C	Intravenous	10 mg/kg	8	8		No change		>=200, <300	>=300, <400			
3143469	3143469	Open PDF	Faden	Faden AI, Lemke M, Demediuk P.	1988	Brain Res	No effect	Non-functional	Secondary degeneration	Rat	SD	Adult	Not defined	275-325 g	Thoracic	Contusion	Toxicity	Cation content in spinal cord			Weight drop	50 g x cm	Systemic	BW755C	Intravenous	10 mg/kg	8	8		No change		>=200, <300	>=300, <400			
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Functional	Locomotor test	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Open field	modified Tarlov Scale	4.12 [2.39]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	10	9		Increase	3 w	>=100, <200	>=200, <300		4,12	2,39
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Cyst volume	Area of cavity/area of lesion x 100	28.3 [57.7]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Decrease	3 w	>=100, <200	>=200, <300		28,3	57,7
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.15 [1.62]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	6	6		Decrease	3 w	>=100, <200	>=200, <300		1,15	1,62
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of ventral white matter spared tissue [_m]	724  [53]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	10	9		Decrease	3 w	>=100, <200	>=200, <300		724	53
7991623	7991623	Open PDF	Guth	Guth L, Zhang Z, Roberts E.	1994	PNAS	Positive	Non-functional	Secondary degeneration	Rat	SD	Adult	Female	170-200g	Thoracic	Compression	Lesion volume	Area of lesion [mm2]	1.33 [1.89]		No.5 Dumont forceps		Systemic	Indomethacin	Intraperitoneal	0.2 mg	10	9		Decrease	3 w	>=100, <200	>=200, <300		1,33	1,89
